id,customer,country,amount,qty,ratio,flag,ordered_on,created_at,note
1,Alpha,DE,10.00,1,1.5,true,2025-12-31,2025-12-31T23:59:59Z,\N
2,Alpha,DE,20.00,2,-0.0,false,2026-01-01,2026-01-01T00:00:00Z,
3,Beta,DE,\N,\N,0.0,true,2026-01-01,2026-01-01T00:00:01Z,\N
4,Beta,FR,100.00,4,NaN,\N,2026-02-14,2026-02-14T12:00:00Z,abc
5,Gamma,FR,\N,5,2.25,false,\N,\N,Abc
6,Gamma,US,0.00,6,3.5,true,2026-03-01,2026-03-01T00:00:00.500000Z,abcde
7,Delta,US,999999999.99,7,-1.5,false,2026-03-02,2026-03-02T06:30:00Z,\N
8,\N,GB,-0.01,8,4.0,true,2026-04-01,2026-04-01T00:00:00Z,ä
9,Epsilon,\N,-12345.67,9,\N,false,2026-04-02,2026-04-02T12:00:00Z,z
10,Epsilon,DE,50.00,10,5.0,\N,2026-05-01,2026-05-01T00:00:00Z,Z
11,,DE,11.11,11,1.0,true,2026-05-02,2026-05-02T00:00:00Z,\N
12,Alpha,DE,12.00,12,1.1,false,2026-05-03,2026-05-03T00:00:00Z,\N
13,Alpha,DE,13.00,13,1.2,true,2026-05-04,2026-05-04T00:00:00Z,\N
14,Beta,DE,14.00,14,1.3,false,2026-05-05,2026-05-05T00:00:00Z,\N
15,Beta,DE,15.00,15,1.4,true,2026-05-06,2026-05-06T00:00:00Z,\N
16,Gamma,DE,16.00,16,1.5,false,2026-05-07,2026-05-07T00:00:00Z,\N
17,Gamma,DE,17.00,17,1.6,true,2026-05-08,2026-05-08T00:00:00Z,\N
18,Delta,DE,18.00,18,1.7,false,2026-05-09,2026-05-09T00:00:00Z,\N
19,Delta,DE,19.00,19,1.8,true,2026-05-10,2026-05-10T00:00:00Z,\N
20,\N,DE,20.00,20,1.9,false,2026-05-11,2026-05-11T00:00:00Z,\N
21,Alpha,FR,21.00,21,2.0,true,2026-06-01,2026-06-01T00:00:00Z,\N
22,Beta,FR,22.00,22,2.1,false,2026-06-02,2026-06-02T00:00:00Z,\N
23,Gamma,FR,23.00,23,2.2,true,2026-06-03,2026-06-03T00:00:00Z,\N
24,Delta,FR,24.00,24,2.3,false,2026-06-04,2026-06-04T00:00:00Z,\N
25,Alpha,FR,25.00,25,2.4,true,2026-06-05,2026-06-05T00:00:00Z,\N
26,Beta,FR,26.00,26,2.5,false,2026-06-06,2026-06-06T00:00:00Z,\N
27,Gamma,FR,27.00,27,2.6,true,2026-06-07,2026-06-07T00:00:00Z,\N
28,Alpha,US,28.00,28,2.7,false,2026-07-01,2026-07-01T00:00:00Z,\N
29,Beta,US,29.00,29,2.8,true,2026-07-02,2026-07-02T00:00:00Z,\N
30,Gamma,US,30.00,30,2.9,false,2026-07-03,2026-07-03T00:00:00Z,\N
31,Delta,US,31.00,31,3.0,true,2026-07-04,2026-07-04T00:00:00Z,\N
32,\N,US,32.00,32,3.1,false,2026-07-05,2026-07-05T00:00:00Z,\N
33,Alpha,GB,33.00,33,3.2,true,2026-08-01,2026-08-01T00:00:00Z,\N
34,Beta,GB,34.00,34,3.3,false,2026-08-02,2026-08-02T00:00:00Z,\N
35,Gamma,GB,35.00,35,3.4,true,2026-08-03,2026-08-03T00:00:00Z,\N
36,Delta,GB,36.00,36,3.5,false,2026-08-04,2026-08-04T00:00:00Z,\N
37,Alpha,,37.00,37,3.6,true,2026-09-01,2026-09-01T00:00:00Z,\N
38,Beta,,38.00,38,3.7,false,2026-09-02,2026-09-02T00:00:00Z,\N
39,Gamma,,39.00,39,3.8,true,2026-09-03,2026-09-03T00:00:00Z,\N
40,Alpha,\N,40.00,40,3.9,false,2026-10-01,2026-10-01T00:00:00Z,\N
41,Beta,\N,41.00,41,4.1,true,2026-10-02,2026-10-02T00:00:00Z,\N
42,Gamma,\N,42.00,42,4.2,false,2026-10-03,2026-10-03T00:00:00Z,\N
43,Delta,\N,43.00,43,4.3,true,2026-10-04,2026-10-04T00:00:00Z,\N
44,\N,\N,44.00,44,4.4,false,2026-10-05,2026-10-05T00:00:00Z,\N
45,Alpha,DE,45.00,45,4.5,true,2026-11-01,2026-11-01T00:00:00Z,é
46,Beta,DE,46.00,46,4.6,false,2026-11-02,2026-11-02T00:00:00Z,é
47,Gamma,US,47.00,47,\N,true,2026-11-03,2026-11-03T00:00:00Z,\N
48,Delta,FR,48.00,\N,4.8,false,2026-11-04,\N,\N
49,Alpha,GB,\N,49,4.9,true,2026-11-05,2026-11-05T00:00:00Z,\N
50,Beta,\N,50.50,50,5.0,false,2026-12-31,2026-12-31T23:59:59.999999Z,\N
