id,customer,country,amount,qty,ordered_on
1,Alpha,DE,10.00,1,2025-12-31
2,Alpha,DE,20.00,2,2026-01-01
3,Beta,DE,\N,\N,2026-01-01
4,Beta,FR,100.00,4,2026-02-14
5,Gamma,FR,\N,5,\N
6,Gamma,US,0.00,6,2026-03-01
7,Delta,US,999999999.99,7,2026-03-02
8,\N,GB,-0.01,8,2026-04-01
9,Epsilon,\N,-12345.67,9,2026-04-02
10,Epsilon,DE,50.00,10,2026-05-01
11,,DE,11.11,11,2026-05-02
12,Alpha,DE,12.00,12,2026-05-03
13,Alpha,DE,13.00,13,2026-05-04
14,Beta,DE,14.00,14,2026-05-05
15,Beta,DE,15.00,15,2026-05-06
16,Gamma,DE,16.00,16,2026-05-07
17,Gamma,DE,17.00,17,2026-05-08
18,Delta,DE,18.00,18,2026-05-09
19,Delta,DE,19.00,19,2026-05-10
20,\N,DE,20.00,20,2026-05-11
21,Alpha,FR,21.00,21,2026-06-01
22,Beta,FR,22.00,22,2026-06-02
23,Gamma,FR,23.00,23,2026-06-03
24,Delta,FR,24.00,24,2026-06-04
25,Alpha,FR,25.00,25,2026-06-05
26,Beta,FR,26.00,26,2026-06-06
27,Gamma,FR,27.00,27,2026-06-07
28,Alpha,US,28.00,28,2026-07-01
29,Beta,US,29.00,29,2026-07-02
30,Gamma,US,30.00,30,2026-07-03
31,Delta,US,31.00,31,2026-07-04
32,\N,US,32.00,32,2026-07-05
33,Alpha,GB,33.00,33,2026-08-01
34,Beta,GB,34.00,34,2026-08-02
35,Gamma,GB,35.00,35,2026-08-03
36,Delta,GB,36.00,36,2026-08-04
37,Alpha,,37.00,37,2026-09-01
38,Beta,,38.00,38,2026-09-02
39,Gamma,,39.00,39,2026-09-03
40,Alpha,\N,40.00,40,2026-10-01
41,Beta,\N,41.00,41,2026-10-02
42,Gamma,\N,42.00,42,2026-10-03
43,Delta,\N,43.00,43,2026-10-04
44,\N,\N,44.00,44,2026-10-05
45,Alpha,DE,45.00,45,2026-11-01
46,Beta,DE,46.00,46,2026-11-02
47,Gamma,US,47.00,47,2026-11-03
48,Delta,FR,48.00,\N,2026-11-04
49,Alpha,GB,\N,49,2026-11-05
50,Beta,\N,50.50,50,2026-12-31
